Portrait item # ,Portrait description,,,,,,,,Price,Finish Price
001,Complimentary 8x10 BASIC,,,,,,,,0,0
002,Complimentary 8x10 upgraded to PRESTIGE,,,,,,,,0,10
003,Complimentary 8x10 upgraded to KEEPSAKE,,,,,,,,0,20
200,Sheet of 8 WALLETS,,,,,,,,25,0
350,3.5x5 BASIC 1 sheet of 4,,,,,,,,50,0
510,"5x10 TRIO PORTRAIT, creme mat and cherry frame",,,,,,,,75,0
510.1,"5x10 TRIO PORTRAIT, white mat and cherry frame",,,,,,,,75,0
510.2,"5x10 TRIO PORTRAIT, gray mat and cherry frame",,,,,,,,75,0
510.3,"5x10 TRIO PORTRAIT, black mat and cherry frame",,,,,,,,75,0
511,"5x10 TRIO PORTRAIT, creme mat and black frame",,,,,,,,75,0
511.1,"5x10 TRIO PORTRAIT, white mat and black frame",,,,,,,,75,0
511.2,"5x10 TRIO PORTRAIT, gray mat and black frame",,,,,,,,75,0
511.3,"5x10 TRIO PORTRAIT, black mat and black frame",,,,,,,,75,0
570,Pair 5x7 BASIC,,,,,,,,50,0
571,Pair 5x7 PRESTIGE,,,,,,,,50,20
572,Pair 5x7 KEEPSAKE,,,,,,,,50,40
810,8x10 BASIC,,,,,,,,25,0
811,8x10 PRESTIGE mounted on acid-free board,,,,,,,,25,10
812,8x10 KEEPSAKE printed on canvas and mounted on acid-free board,,,,,,,,25,20
9111,STAFF complimentary 8x10 basic,,,,,,,,0,0
9112,STAFF complimentary 8x10 UPGRADED TO PRESTIGE,,,,,,,,0,10
9113,STAFF complimentary 8x10 UPGRADED TO KEEPSAKE,,,,,,,,0,20
1013,10x13 BASIC,,,,,,,,50,0
1014,10x13 PRESTIGE mounted on acid-free board,,,,,,,,50,20
1015,10x13 KEEPSAKE printed on canvas and mounted on acid-free board,,,,,,,,50,40
1020,"10x20 TRIO PORTRAIT, white digital mat, black frame",,,,,,,,125,0
1020.1,"10x20 TRIO PORTRAIT, white digital mat, cherry frame",,,,,,,,125,0
1020.2,"10x20 TRIO PORTRAIT, gray digital mat, black frame",,,,,,,,125,0
1020.3,"10x20 TRIO PORTRAIT, gray digital mat, cherry frame",,,,,,,,125,0
1020.4,"10x20 TRIO PORTRAIT, black digital mat, black frame",,,,,,,,125,0
1020.5,"10x20 TRIO PORTRAIT, black digital mat, cherry frame",,,,,,,,125,0
1020.6,"10x20 TRIO PORTRAIT, creme digital mat, black frame",,,,,,,,125,0
1020.7,"10x20 TRIO PORTRAIT, creme digital mat, cherry frame",,,,,,,,125,0
1620,16x20 BASIC,,,,,,,,100,0
1621,16x20 PRESTIGE mounted on acid-free board,,,,,,,,100,40
1622,16x20 KEEPSAKE printed on canvas and mounted on acid-free board,,,,,,,,100,80
2024,20x24 BASIC,,,,,,,,150,0
2025,20x24 PRESTIGE mounted on acid-free board,,,,,,,,150,60
2026,20x24 KEEPSAKE printed on canvas and mounted on acid-free board,,,,,,,,150,120
229,5x7 244 CHERRY frame,,,,Discount Codes,,,,,
230,5x7 244 BLACK frame,,,,Code,Amount,Description,,,
231,8x10 244 CHERRY frame,,,,1,$200,Pastor or Lead Coordinator,,,
232,8x10 244 BLACK frame,,,,2,n/a,50% discount over $200,,,
233,10x13 244 CHERRY frame,,,,3,$50,Pastor or Lead Coordinator,,,
234,10x13 244 BLACK frame,,,,4,$25,Pastor or Lead Coordinator,,,
235,16x20 244 CHERRY frame,,,,5,$75,Pastor or Lead Coordinator,,,
236,16x20 244 BLACK frame,,,,6,$100,Pastor or Lead Coordinator,,,
237,20x24 CHERRY frame,,,,,,,,,
238,20x24 BLACK frame,,,,,,,,,
242,5x7 Museum frame,,,,,,,,,
243,8x10 Museum frame,,,,,,,,,
239,10x13 Museum frame,,,,,,,,,
240,16x20 Museum frame,,,,,,,,,
241,20x24 Museum frame,,,,,,,,,
