Idx	Label	Value
1	RETOUCH Img #1	9154
2	RETOUCH Img #2	
3	RETOUCH Img #3	
4	RETOUCH Img #4	
5	RETOUCH Img #5	
6	RETOUCH Img #6	
7	RETOUCH Img #7	
8	RETOUCH Img #8	
9	Directory Pose Order #	002
10	Directory Pose Image #	9154
11	Qty R1	1
12	Prod R1	812
13	Desc R1	8x10 KEEPSAKE (printed on canvas and mounted)
14	Img # R1	9154
15	Artist Series R1	Artist brush strokes Black & White
16	Qty R2	
17	Prod R2	
18	Desc R2	
19	Img # R2	
20	Artist Series R2	
21	Qty R3	
22	Prod R3	
23	Desc R3	
24	Img # R3	
25	Artist Series R3	
26	Qty R4	1
27	Prod R4	1020.6
28	Desc R4	10x20 TRIO PORTRAIT cream digital mat, black frame
29	Img # R4	9162, 9154, 9164
30	Qty R5	
31	Prod R5	
32	Desc R5	
33	Img # R5	
34	Frame# F1	230
35	Frame Qty F1	2
36	Frame Desc F1	5 x 7 black frame P360BLK5x7-GVEBHB
37	Qty R6	
38	Prod R6	
39	Desc R6	
40	Img # R6	
41	Frame# F2	
42	Frame Qty F2	
43	Frame Desc F2	
44	Qty R7	1
45	Prod R7	511
46	Desc R7	5x10 triple opening with BEIGE digital mat and black frame
47	Img # R7	9162, 9164, 9154
48	Frame# F3	
49	Frame Qty F3	
50	Frame Desc F3	
51	Qty R8	
52	Prod R8	
53	Desc R8	
54	Img # R8	
55	Frame# F4	
56	Frame Qty F4	
57	Frame Desc F4	
58	Frame# F5	
59	Frame Qty F5	
60	Frame Desc F5	
61	Qty R9	10
62	Prod R9	350
63	Desc R9	3.5" x 5" BASIC 1 sheet of 4
64	Img # R9	9154
65	Frame# F6	
66	Frame Qty F6	
67	Frame Desc F6	
68	Qty R10	
69	Prod R10	
70	Desc R10	
71	Img # R10	
72	Qty R11	2
73	Prod R11	572
74	Desc R11	pair 5x7 KEEPSAKE (printed on canvas and mounted)
75	Img # R11	9154
76	Qty R12	
77	Prod R12	
78	Desc R12	
79	Img # R12	
80	Qty R13	
81	Prod R13	
82	Desc R13	
83	Img # R13	
84	Qty R14	
85	Prod R14	
86	Desc R14	
87	Img # R14	
88	Qty R15	
89	Prod R15	
90	Desc R15	
91	Img # R15	
92	Qty R16	
93	Prod R16	
94	Desc R16	
95	Img # R16	
96	Qty R17	
97	Prod R17	
98	Desc R17	
99	Img # R17	
100	Qty R18	
101	Prod R18	
102	Desc R18	
103	Img # R18	
